,week,Chipotle Sauce,Arugula,Red Onions,Coarse Sicilian Salami,Pesto Sauce,Alfredo Sauce,Blue Cheese,Pineapple,Thai Sweet Chilli Sauce,Italian Sausage,Romano Cheese,Pepperoni,Capocollo,Chicken,Provolone Cheese,Parmigiano Reggiano Cheese,Artichokes,Spinach,Pears,Barbecued Chicken,Jalapeno Peppers,Barbecue Sauce,Mushrooms,Plum Tomatoes,Goat Cheese,Gorgonzola Piccante Cheese,Green Peppers,Asiago Cheese,Thyme,Chorizo Sausage,Fontina Cheese,Brie Carre Cheese,Artichoke,Ricotta Cheese,Prosciutto di San Daniele,Sun-dried Tomatoes,Sliced Ham,Onions,Beef Chuck Roast,Pancetta,Oregano,Zucchini,Feta Cheese,Genoa Salami,Kalamata Olives,Eggplant,Anchovies,Mozzarella Cheese,Garlic,Bacon,Green Olives,Nduja Salami,Peperoncini verdi,Smoked Gouda Cheese,Calabrese Salami,Cilantro,Red Peppers,Caramelized Onions,Luganega Sausage,Tomatoes,Prosciutto,Gouda Cheese,Friggitello Peppers,Corn,Soppressata Salami
10,10,392,129,1858,184,107,44,237,338,222,460,237,1054,607,631,237,349,369,716,23,313,554,313,834,26,345,349,583,146,23,460,197,23,163,349,129,79,115,184,95,39,125,177,400,73,153,34,148,1025,2601,667,568,39,223,237,191,392,1487,23,184,2332,23,163,39,392,34
11,11,360,44,1416,124,143,101,305,550,321,142,305,674,482,927,305,266,307,592,31,191,582,191,608,22,191,266,365,276,31,142,272,31,225,266,44,65,231,124,103,16,39,174,229,140,156,54,58,1014,2154,323,355,16,152,305,150,360,1403,31,124,1970,31,225,16,360,49
12,12,366,93,1815,130,196,108,233,548,312,256,233,904,825,946,233,129,817,820,16,274,599,274,883,120,640,129,430,217,16,256,356,16,231,129,93,218,237,130,96,126,119,141,399,77,251,42,79,993,2547,570,413,126,522,233,113,366,1691,16,130,2626,16,231,126,366,127
13,13,404,163,1944,134,104,103,216,753,513,146,216,869,756,1109,216,126,431,698,13,185,579,185,880,63,494,126,423,292,13,146,298,13,177,126,163,82,242,134,233,75,290,178,473,94,389,53,134,1039,2559,377,483,75,205,216,169,404,1934,13,134,2805,13,177,75,404,121
14,14,568,59,2424,85,139,43,170,691,484,31,170,942,797,970,170,249,461,597,8,372,767,372,753,79,394,249,471,280,8,31,256,8,199,249,59,115,209,85,304,73,173,122,495,172,451,59,90,926,2748,478,443,73,220,170,234,568,2252,8,85,3071,8,199,73,568,57
15,15,384,45,1619,89,156,26,225,547,256,324,225,1010,631,747,225,339,342,607,7,218,561,218,656,72,218,339,433,261,7,324,262,7,173,339,45,99,291,89,98,57,95,157,268,173,229,60,91,1095,2329,552,472,57,121,225,243,384,1428,7,89,2185,7,173,57,384,86
16,16,193,69,1594,232,244,34,210,527,255,215,210,767,844,703,210,251,481,676,8,326,357,326,612,12,455,251,520,165,8,215,205,8,164,251,69,45,271,232,167,55,120,195,322,90,221,63,59,998,2622,417,649,55,335,210,294,193,1465,8,232,2599,8,164,55,193,39
17,17,253,57,1411,42,259,129,174,398,188,167,174,908,583,891,174,263,546,742,31,234,509,234,699,42,371,263,386,287,31,167,266,31,254,263,57,111,212,42,108,63,76,151,317,112,203,90,40,975,2062,409,255,63,295,174,100,253,1370,31,42,1955,31,254,63,253,13
18,18,406,62,1996,127,216,56,285,417,242,304,285,1120,624,838,285,418,646,852,40,355,734,355,735,115,363,418,585,167,40,304,405,40,327,418,62,210,176,127,206,98,96,183,476,50,386,106,81,1341,2952,523,474,98,267,285,213,406,1577,40,127,2550,40,327,98,406,77
19,19,172,97,1464,187,167,32,270,592,360,354,270,1366,731,876,270,492,522,754,34,242,450,242,781,34,392,492,412,272,34,354,367,34,279,492,97,90,232,187,40,65,57,130,231,176,136,37,116,1549,2800,683,513,65,333,270,164,172,1397,34,187,2281,34,279,65,172,88
20,20,356,86,1929,105,108,69,186,313,146,200,186,842,719,642,186,341,527,660,21,294,526,294,685,109,342,341,420,214,21,200,216,21,168,341,86,159,168,105,97,79,67,77,388,78,274,29,118,991,2376,460,583,79,274,186,302,356,1299,21,105,2184,21,168,79,356,48
21,21,573,125,2204,240,198,90,315,260,123,340,315,1026,786,982,315,290,347,872,23,393,878,393,756,69,332,290,526,257,23,340,378,23,304,290,125,101,139,240,157,60,209,148,516,132,257,89,89,1228,3004,510,762,60,124,315,319,573,1798,23,240,2829,23,304,60,573,74
22,22,278,68,1637,76,170,60,291,460,317,274,291,894,660,859,291,226,332,749,23,234,557,234,658,45,217,226,451,256,23,274,330,23,279,226,68,113,146,76,100,28,94,170,286,153,188,51,141,917,2462,462,539,28,122,291,291,278,1389,23,76,2203,23,279,28,278,49
23,23,260,157,1497,231,128,87,259,411,122,122,259,729,483,574,259,307,390,725,18,227,517,227,646,68,294,307,362,241,18,122,348,18,259,307,157,130,286,231,74,60,179,123,297,61,237,52,189,1315,2486,303,641,60,115,259,124,260,1190,18,231,2013,18,259,60,260,90
24,24,325,35,1498,185,201,123,287,585,380,143,287,654,655,1034,287,92,486,741,28,224,612,224,563,40,406,92,362,272,28,143,310,28,289,92,35,126,205,185,70,73,132,89,252,93,163,37,134,791,2418,276,503,73,274,287,159,325,1489,28,185,2385,28,289,73,325,21
25,25,203,48,1617,131,161,69,174,501,298,120,174,757,542,789,174,226,405,660,22,338,444,338,795,47,365,226,540,150,22,120,327,22,242,226,48,123,203,131,154,40,160,133,331,50,238,42,113,860,2159,431,413,40,204,174,133,203,1553,22,131,2141,22,242,40,203,82
26,26,584,108,2369,146,271,38,387,581,388,446,387,1649,722,954,387,312,621,730,22,361,764,361,1062,121,385,312,647,197,22,446,236,22,183,312,108,181,193,146,99,55,136,244,371,107,266,140,113,1376,2898,983,557,55,249,387,232,584,2360,22,146,2962,22,183,55,584,53
27,27,301,165,1574,83,90,30,403,502,336,145,403,838,804,854,403,155,410,765,53,263,548,263,683,54,388,155,390,272,53,145,308,53,248,155,165,78,167,83,95,60,112,111,410,207,182,19,24,1156,2510,350,375,60,277,403,208,301,1403,53,83,2249,53,248,60,301,59
28,28,357,56,1802,195,180,56,263,468,306,135,263,945,633,892,263,553,516,788,22,328,639,328,745,58,370,553,549,337,22,135,340,22,280,553,56,132,164,195,162,59,111,193,373,220,277,65,202,1275,3040,390,500,59,258,263,44,357,1643,22,195,2660,22,280,59,357,59
29,29,472,79,1759,90,91,62,485,765,478,345,485,1091,609,988,485,155,515,695,5,258,704,258,703,70,421,155,552,161,5,345,258,5,232,155,79,88,288,90,117,54,68,224,264,51,236,27,60,1334,2507,590,328,54,352,485,139,472,1851,5,90,2514,5,232,54,472,28
30,30,349,72,1640,113,159,17,240,301,155,306,240,985,435,602,240,150,275,773,34,229,554,229,797,20,183,150,472,161,34,306,258,34,206,150,72,68,145,113,82,59,92,165,315,62,185,30,99,813,2160,577,508,59,91,240,193,349,1356,34,113,1984,34,206,59,349,54
31,31,231,115,1613,172,164,85,339,634,251,232,339,970,539,1025,339,206,360,1005,6,158,725,158,647,66,196,206,382,240,6,232,510,6,492,206,115,124,384,172,78,131,90,166,279,73,226,51,128,1353,2656,416,617,131,103,339,271,231,1218,6,172,2093,6,492,131,231,19
32,32,266,101,1675,163,149,65,171,477,257,360,171,1275,549,871,171,267,397,863,29,182,553,182,963,50,275,267,392,205,29,360,354,29,289,267,101,113,224,163,56,54,73,110,390,91,155,35,119,1135,2339,700,518,54,201,171,180,266,1345,29,163,1980,29,289,54,266,64
33,33,201,58,1257,89,90,44,274,493,289,189,274,675,525,663,274,168,368,590,40,172,393,172,641,40,338,168,369,123,40,189,294,40,194,168,58,85,203,89,106,24,127,120,313,39,188,31,151,970,2084,321,431,24,210,274,146,201,1095,40,89,1807,40,194,24,201,100
34,34,384,80,1624,179,144,151,175,401,225,123,175,808,600,862,175,124,357,632,7,336,553,336,655,21,368,124,536,319,7,123,188,7,170,124,80,68,176,179,65,60,180,146,251,107,149,38,66,861,2020,250,407,60,189,175,123,384,1606,7,179,2270,7,170,60,384,18
35,35,227,68,1380,163,215,100,282,561,355,147,282,973,761,845,282,506,440,669,40,213,391,213,761,25,402,506,409,301,40,147,193,40,167,506,68,117,202,163,72,18,144,107,288,170,130,31,113,1340,2631,402,592,18,259,282,189,227,1495,40,163,2370,40,167,18,227,26
36,36,337,187,1794,102,277,62,430,591,334,251,430,1040,686,1015,430,263,517,890,54,317,678,317,807,84,342,263,558,234,54,251,392,54,340,263,187,166,259,102,80,89,131,243,316,147,189,116,76,1397,2841,546,423,89,212,430,193,337,1803,54,102,2505,54,340,89,337,52
37,37,298,106,1749,62,176,77,253,469,240,121,253,906,424,847,253,241,333,736,14,305,545,305,727,74,235,241,497,193,14,121,311,14,246,241,106,116,231,62,144,71,115,121,352,57,274,37,168,1196,2192,382,416,71,121,253,133,298,1515,14,62,2093,14,246,71,298,63
38,38,415,64,1293,110,147,48,76,526,317,277,76,755,326,822,76,91,302,337,45,181,495,181,435,29,191,91,296,132,45,277,105,45,79,91,64,80,206,110,59,39,78,112,149,37,130,64,114,609,1305,464,352,39,112,76,99,415,1361,45,110,1828,45,79,39,415,27
39,39,321,105,1667,315,142,74,293,474,170,150,293,923,683,532,293,226,324,431,3,245,420,245,724,29,294,226,402,196,3,150,147,3,99,226,105,55,304,315,101,78,100,97,276,100,153,54,90,1234,2435,441,755,78,193,293,282,321,1359,3,315,2260,3,99,78,321,52
40,40,387,230,1330,108,79,26,305,596,468,188,305,651,376,1040,305,422,245,535,22,166,587,166,508,22,178,422,322,147,22,188,289,22,200,422,230,41,128,108,38,63,68,93,178,46,133,26,133,1318,2136,304,425,63,107,305,153,387,1356,22,108,1986,22,200,63,387,89
41,41,184,162,1611,194,202,128,347,687,277,216,347,935,603,705,347,366,567,755,23,292,337,292,894,25,381,366,595,336,23,216,195,23,152,366,162,60,409,194,133,57,88,332,349,117,248,121,57,1519,2668,448,431,57,294,347,103,184,1576,23,194,2370,23,152,57,184,46
42,42,264,53,1495,144,93,144,137,447,322,237,137,937,628,831,137,202,295,513,18,102,498,102,649,28,270,202,293,326,18,237,278,18,230,202,53,49,122,144,146,133,86,142,262,164,199,46,143,800,2231,416,525,133,182,137,197,264,1264,18,144,2140,18,230,133,264,45
43,43,388,110,1561,269,171,94,220,430,308,232,220,956,372,862,220,183,382,631,30,197,576,197,706,87,233,183,386,198,30,232,220,30,187,183,110,139,122,269,106,101,64,101,281,62,232,26,54,862,2093,539,453,101,169,220,79,388,1541,30,269,2142,30,187,101,388,31
44,44,589,116,1917,187,161,166,224,486,249,381,224,1070,750,1189,224,206,378,829,15,170,1013,170,618,71,362,206,235,381,15,381,488,15,426,206,116,132,239,187,196,41,195,95,418,187,294,51,121,1129,2865,559,543,41,170,224,199,589,1690,15,187,2576,15,426,41,589,62
45,45,356,118,1748,111,119,100,185,497,206,169,185,744,683,774,185,190,322,730,29,228,625,228,584,58,186,190,396,299,29,169,324,29,273,190,118,95,290,111,56,67,56,159,203,123,190,21,50,997,2321,352,564,67,131,185,377,356,1350,29,111,2119,29,273,67,356,51
46,46,322,62,1625,158,191,39,179,497,203,167,179,664,642,598,179,256,495,651,29,202,444,202,597,57,339,256,404,145,29,167,153,29,120,256,62,134,294,158,157,85,75,225,375,79,243,68,68,1004,2358,331,495,85,266,179,223,322,1279,29,158,2262,29,120,85,322,33
47,47,805,121,2854,274,228,75,466,916,534,306,466,1472,1115,1241,466,428,611,827,33,491,1070,491,1104,36,577,428,777,348,33,306,337,33,266,428,121,117,383,274,184,106,203,212,455,248,250,88,112,1742,4111,755,747,106,375,466,292,805,2824,33,274,4076,33,266,106,805,68
48,48,357,100,1653,220,162,95,191,617,325,204,191,988,670,882,191,369,489,721,14,131,592,131,729,51,347,369,320,282,14,204,267,14,232,369,100,102,293,220,71,41,99,176,264,112,201,61,113,1244,2630,474,565,41,249,191,213,357,1507,14,220,2306,14,232,41,357,32
49,49,348,69,1681,205,160,33,97,839,443,132,97,800,610,1169,97,251,420,913,30,293,700,293,660,88,298,251,554,273,30,132,413,30,353,251,69,126,396,205,152,74,115,225,390,186,298,59,94,1056,2471,281,479,74,183,97,125,348,1672,30,205,2657,30,353,74,348,63
50,50,184,89,1446,140,209,95,117,443,295,335,117,948,689,861,117,163,476,745,11,228,478,228,614,70,387,163,369,262,11,335,324,11,292,163,89,109,149,140,122,71,152,182,326,115,236,88,55,757,2214,543,410,71,238,117,180,184,1432,11,140,2165,11,292,71,184,33
51,51,138,47,810,113,62,16,120,504,300,183,120,551,238,497,120,179,156,373,8,73,217,73,450,46,125,179,201,83,8,183,109,8,80,179,47,73,206,113,46,27,77,104,176,45,116,13,38,642,1165,379,236,27,46,120,65,138,918,8,113,1164,8,80,27,138,29
52,52,97,29,432,32,36,25,46,38,12,30,46,162,210,164,46,117,150,213,3,85,162,85,196,14,149,117,190,51,3,30,72,3,66,117,29,30,26,32,5,4,51,92,44,17,28,15,18,266,690,68,101,4,97,46,45,97,408,3,32,596,3,66,4,97,6
